Artikelname;EAN;SKU;Brand;MwSt;EK netto;empfl. VK brutto;Inhalt;Beschreibung;Anwendung;INCI
CLEAR CELL clarifying salicylic lotion;819984011687;CCEU-201;IMAGE Skincare;19;21,00 €;42,00 €;50 ml;"Eine Lotion für den täglichen Gebrauch, um die Überproduktion von Ölen und Bakterien zu verhindern.
Eine Mischung aus Antioxidantien verbessert den Feuchtigkeitsgehalt von zu Akne neigender Haut.
Natürliche Hautaufheller reduzieren Rötungen.";Nach der gründlichen Reinigung punktuell auf Akneläsionen auftragen.;"Aqua/Water/Eau, AloeBarbadensis Leaf Juice, Caprylic/CapricTriglyceride, Butylene Glycol, Alcohol Denat.(Sd Alcohol 40-B), Glycerin, Cetearyl Olivate, Sorbitan Olivate, Salicylic
Acid, Tetrahexyldecyl Ascorbate, Polysorbate 20, Cetyl Alcohol, Stearic Acid, SodiumHydroxide, Phenoxyethanol, TocopherylAcetate, Polyacrylate Crosspolymer-6,Sodium Acrylates
Copolymer, CaprylylGlycol, Xanthan Gum, Hydrogenated Lecithin, Melaleuca Alternifolia (Tea Tree) Leaf Oil,Polyacrylate-13, Arnica Montana Flower Extract, Ethylhexylglycerin, Hexylene
Glycol, Lecithin, Alcohol, Polyisobutene, Hamamelis Virginiana (Witch Hazel) Water, Eucalyptus Globulus Leaf Oil, Achillea Millefolium Flower/Leaf/Stem Extract, Alchemilla Vulgaris
Flower/Leaf/Stem Extract, Malva Sylvestris (Mallow) Flower/Leaf/Stem Extract, Melissa Officinalis Leaf Extract, Mentha Piperita (Peppermint) Leaf Extract, Primula Veris Flower Extract,
Sodium Phytate, Veronica Officinalis Flower/Leaf/Stem Extract, Cinnamomum Camphora (Camphor) Bark Oil, Limonene, Melia Azadirachta Leaf Extract, Sorbitan Isostearate, Sodium
Benzoate, Boswellia Serrata Extract, Mel Extract (Honey Extract), Oryza Sativa (Rice) Bran Extract, Pyruvic Acid, Linalool, Oligopeptide-10, Anthemis Nobilis Flower Extract, Aesculus
Hippocastanum (Horse Chestnut) Extract, Camellia Sinensis Leaf Extract, Potassium Sorbate."
CLEAR CELL clarifying salicylic masque;819984011311;CC-202;IMAGE Skincare;19;19,50 €;39,00 €;57 g;"Eine auf einer AHA-/BHA-Mischung basierende Aknemaske, die Unreinheiten und überschüssige Öle entfernt.
Ein Komplex verschiedener potenter Wirkstoffe lindert gereizte und gerötete Akneläsionen und erfrischt die Haut.";"1-3 Mal pro Woche eine großzügige Menge auf die gründlich gereinigte Haut oder auf einzelne Partien auftragen und
5 - 15 Minuten einwirken lassen. Mit kaltem Wasser entfernen.";"Kaolin, Aqua/Water/Eau, Aloe Barbadensis Leaf Juice, Glycerin, Dimethyl Sulfone, Jojoba Esters, Magnesium Aluminum Silicate, Glycolic Acid, Titanium Dioxide (Ci 77891), Butylene
Glycol, Salicylic Acid, Sorbitol, Sodium Hydroxide, Phenoxyethanol, Xanthan Gum, Maltodextrin, Caprylyl Glycol, Sodium Polystyrene Sulfonate, Eucalyptus Globulus Leaf Oil,
Ethylhexylglycerin, Hexylene Glycol, Leptospermum Scoparium Branch/Leaf Oil, Potassium Bitartrate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Allantoin, Panthenol, Cinnamomum
Camphora (Camphor) Bark Oil, Sodium Pca, Alcohol, Sodium Phytate, Syringa Vulgaris (Lilac) Extract, Limonene, Pyruvic Acid, Achillea Millefolium Flower/Leaf/Stem Extract, Alchemilla
Vulgaris Flower/Leaf/Stem Extract, Malva Sylvestris (Mallow) Flower/Leaf/Stem Extract, Melissa Officinalis Leaf Extract, Mentha Piperita (Peppermint) Leaf Extract, Primula Veris Flower
Extract, Quartz, Veronica Officinalis Flower/Leaf/Stem Extract, Melia Azadirachta Leaf Extract, Sodium Benzoate, Boswellia Serrata Extract, Mel Extract (Honey Extract), Oryza Sativa
(Rice) Bran Extract, Sodium Hyaluronate, Camellia Sinensis Leaf Extract, Oligopeptide-10, Anthemis Nobilis Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Aesculus
Hippocastanum (Horse Chestnut) Extract, Potassium Sorbate."
CLEAR CELL clarifying salicylic tonic;819984011342;CC-204;IMAGE Skincare;19;16,50 €;33,00 €;118 ml;"Täglich anzuwendendes Tonic mit Glykol- und Salicylsäure zur Exfoliation der Haut und zur Minimierung von Oberflächenölen.
Pflanzliche Wirkstoffe beruhigen die Haut, können Rötungen reduzieren und sorgen für einen mattierten Effekt auf der Haut.";"Einmal täglich ein Pad oder eine Gaze mit dem Tonic tränken und überschüssige Oberflächenöle entfernen.
Je nach Bedarf die Anwendung des Produkts auf zwei- oder dreimal täglich steigern.
Falls Trockenheit, Irritationen oder sichtbare Hautabschuppungen erscheinen, die Anwendung reduzieren.
Während der Anwendung ausreichend Sonnenschutz verwenden.";"Aqua/Water/Eau, Alcohol Denat. (Sd Alcohol 40-B), Glycerin, Polysorbate 20, Hamamelis Virginiana (Witch Hazel) Water, Glycolic Acid, Propylene Glycol, Salicylic Acid, Sodium
Hydroxide, Alcohol, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Sodium Phytate, Camellia Sinensis Leaf Extract, Arnica Montana Flower Extract, Melia
Azadirachta Leaf Extract, Eucalyptus Globulus Leaf Oil, Cinnamomum Camphora (Camphor) Bark Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Limonene, Anthemis Nobilis Flower
Extract, Aesculus Hippocastanum (Horse Chestnut) Extract, Maltodextrin, Butylene Glycol, Syringa Vulgaris (Lilac) Extract, Sodium Benzoate, Potassium Sorbate, Boswellia Serrata
Extract, Mel Extract (Honey Extract), Oryza Sativa (Rice) Bran Extract, Oligopeptide-10."
CLEAR CELL clarifying salicylic pads;819984011328;CC-205;IMAGE Skincare;19;17,50 €;35,00 €;60 Stk.;"Pads mit Salicyl- und Glykolsäure zur Reduktion von Unreinheiten und Eliminierung überschüssiger Öle.
Unterstützt die Tiefenreinigung verstopfter Poren und Follikel - für frischere, saubere Haut.
Eine Mischung potenter Antioxidantien und beruhigender Inhaltsstoffe reduziert Akneläsionen und
Entzündungen. Ideal für unterwegs und nach sportlichen Aktivitäten.";"Jeweils ein Pad entnehmen und die betroffenen Hautstellen leicht abreiben.
Anschliessend verwenden Sie einen Breitspektrum-Sonnenschutz wie
z. B. PREVENTION+ daily matte moisturizer SPF 30.";"Aqua/Water/Eau, Alcohol Denat. (Sd Alcohol 40-B), Glycerin, Polysorbate 20, Hamamelis Virginiana (Witch Hazel) Water, Glycolic Acid, Propylene Glycol, Salicylic Acid, Sodium
Hydroxide, Alcohol, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Sodium Phytate, Camellia Sinensis Leaf Extract, Arnica Montana Flower Extract, Melia
Azadirachta Leaf Extract, Eucalyptus Globulus Leaf Oil, Cinnamomum Camphora (Camphor) Bark Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Limonene, Anthemis Nobilis Flower
Extract, Aesculus Hippocastanum (Horse Chestnut) Extract, Maltodextrin, Butylene Glycol, Syringa Vulgaris (Lilac) Extract, Sodium Benzoate, Potassium Sorbate, Boswellia Serrata
Extract, Mel Extract (Honey Extract), Oryza Sativa (Rice) Bran Extract, Oligopeptide-10"
CLEAR CELL restoring serum;819984012615;CC-206;IMAGE Skincare;19;24,95 €;49,90 €;28 g;"Leichtes, feuchtigkeitsspendendes Serum zur Beruhigung öliger Haut, das sanft Oberflächenöle entfernt und die Haut mit
einem mattierten Effekt hinterlässt. Die Rezeptur beinhaltet Vitamin C zur Reduktion sichtbarer Rötungen und einen Komplex
aus Peptiden und pflanzlichen Wirkstoffen zur Beruhigung der Haut und für ein schönes Hautbild.";"Morgens und abends oder je nach Bedarf eine geringe Menge auf die gereinigte Haut auftragen und einmassieren.
Für zusätzliche Feuchtigkeit Anwendung wiederholen.";"Aqua/Water/Eau, Glycerin, Pentylene Glycol, Ascorbyl Glucoside, Xylitylglucoside, Silica, Anhydroxylitol, Sodium Hydroxide, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate
Crosspolymer, Butylene Glycol, Xylitol, Caprylyl Glycol, Allantoin, Tamarindus Indica Seed Polysaccharide, Aloe Barbadensis Leaf Juice, Ethylhexylglycerin, Hexylene Glycol, Pyridoxine
Hcl, Xanthan Gum, Dipotassium Glycyrrhizate, Sodium Benzoate, Propanediol, Sodium Phytate, Lavandula Angustifolia (Lavender) Oil, Boswellia Serrata Extract, Mel Extract (Honey
Extract), Oryza Sativa (Rice) Bran Extract, Linalool, Camellia Sinensis Leaf Extract, Pyruvic Acid, Oligopeptide-10, Potassium Sorbate."
CLEAR CELL mattifying moisturizer;819984016576;CC-207;IMAGE Skincare;19;29,00 €;58,00 €;57 g;"Ein leichter, beruhigender Feuchtigkeitsspender, der irritierte Haut revitalisiert. Botanische Wirkstoffe reduzieren Irritationen
und Entzündungen. Hydriert die Haut und absorbiert überschüssige Oberflächenöle für einen frischen, matten Effekt.";"Morgens und abends oder je nach Bedarf eine geringe Menge auf die gereinigte Haut auftragen und einmassieren.
Für zusätzliche Feuchtigkeit Anwendung wiederholen.";"Aqua/Water/Eau, Aloe Barbadensis Leaf Juice, Glyceryl Stearates, Glycerin, Caprylic/Capric Triglyceride, Silica, Dimethicone, Sorbitan Stearate, Xylitylglucoside, Cetyl Esters,
Anhydroxylitol, Phenoxyethanol, Butylene Glycol, Diheptyl Succinate, Xylitol, Caprylyl Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tamarindus Indica Seed Polysaccharide,
Curcuma Longa (Turmeric) Root Extract, Ethylhexylglycerin, Hexylene Glycol, Portulaca Oleracea Extract, Pyridoxine Hcl, Sodium Hydroxide, Xanthan Gum, Allantoin, Oryza Sativa (Rice)
Bran Extract, Creatine, Dipotassium Glycyrrhizate, Sodium Benzoate, Propanediol, Sodium Phytate, Lavandula Angustifolia (Lavender) Oil, Helianthus Annuus (Sunflower) Extract,
Boswellia Serrata Extract, Mel Extract (Honey Extract), Linalool, Camellia Sinensis Leaf Extract, Capryloyl Glycerin/Sebacic Acid Copolymer, Rosmarinus Officinalis (Rosemary) Leaf
Extract, Tocopherol, Pyruvic Acid, Oligopeptide-10, Potassium Sorbate."
CLEAR CELL salicylic blemish gel;819984016934;CCEU-218;IMAGE Skincare;19;19,50 €;39,00 €;14 g;"Unser neues super effektives Gel zur punktuellen Behandlung von Unreinheiten und
zur Vorbeugung neuer Läsionen mit Salicylsäure.
Unterstützt außerdem die Reduktion der Entstehung neuer Mitesser.";"1 bis 3 Mal pro Tag eine dünne Schicht auf die betroffenen Stellen auftragen.
Lesen Sie die Instruktionen auf der Verpackung für weitere Anwendungsbereiche.
Das leichte Gel kann morgens und abends in die Pflegeroutine eingebaut werden.";"Aqua/Water/Eau, Propanediol, Butylene Glycol, Salicylic Acid, Polyacrylate Crosspolymer-6, Glycerin, Dimethyl Isosorbide, Zinc Pca, Sodium Hydroxide, Maris Aqua/Sea Water,
Melaleuca Alternifolia (Tea Tree) Leaf Oil, Tasmannia Lanceolata Fruit/Leaf Extract, Cinnamomum Cassia Bark Extract, Sanguisorba Officinalis Root Extract, Zingiber Officinale (Ginger)
Root Extract, Laminaria Digitata Extract, Phenoxyethanol, Chlorella Vulgaris Extract, Saccharide Isomerate, Cinnamal, Limonene, Ethylhexylglycerin."
CLEAR CELL clarifying repair crème;819984016941;CC-219;IMAGE Skincare;19;38,00 €;76,00 €;48 g;"Multifunktionale Gelcrème, die hilft, die sichtbaren Anzeichen von Läsionen durch Oberflächenexfoliation zu reduzieren
und eine gesünder wirkende Haut unterstützt. Mit einer natürlichen Alternative zu Retinol, die es ermöglicht, auch sensiblen
Hauttypen die Vorteile der Retinolalternative näher zu bringen.";"Großzügig auf die gereinigte Haut auftragen.
Die leichte Gelrezeptur wird schnell absorbiert und hinterlässt die Haut weich, glatt und hydriert.";"Aqua/Water/Eau, Squalane, Glycerin, Salicylic Acid, Dimethicone, Glyceryl Stearate, Pentylene Glycol, Cetearyl Alcohol, Cetyl Alcohol, Bakuchiol, Niacinamide, Sclerotium Gum, Stearic
Acid, Phenoxyethanol, Sodium Lauroyl Lactylate, Ceteth-10 Phosphate, Dicetyl Phosphate, Sodium Hydroxide, Ethylhexylglycerin, Eucalyptus Globulus Leaf Oil, Ceramide Np, Melaleuca
Alternifolia (Tea Tree) Leaf Oil, Ceramide Ap, Phytosphingosine, Cholesterol, Xanthan Gum, Carbomer, Epilobium Angustifolium Flower/Leaf/Stem Extract, Limonene, Anthemis Nobilis
Flower Extract, Cucumis Sativus (Cucumber) Fruit Extract, Salix Nigra (Willow) Bark Extract, Symphytum Officinale Rhizome/Root Extract, Sodium Metabisulfite, Ceramide Eop"
PREVENTION+ daily matte moisturizer SPF30;819984014541;PPEU-300;IMAGE Skincare;19;24,95 €;49,90 €;91 g;"Tägliche, mattierende Feuchtigkeitscrème mit Breitband-UVA-/UVB-Sonnenschutz.
Oberflächenölabsorbierende Wirkstoffe hinterlassen einen mattierten Teint und der integrierte Blaulichtfilter schützt die Haut
vor den schädlichen Auswirkungen digitalen Lichts, durch z. B. Smartphones und Tablets....";"15 Minuten vor dem Aufenthalt in der Sonne auf die gereinigte Haut auftragen.
Mindestens alle 2 Stunden erneut auftragen.";"Aqua/Water/Ea, Homosalate, Zinc Oxide (Nano], Cyclopentasiloxane, Isodecyl Neopentandate, Glycerin, Dimethicone, Cetyl Peg/Ppg-10/1 Dimethicone, Butyrospermum Parkii
(Shea) Nut Extract, Citrus Aurantium Dulcis (Orange) Oil, Limonene, Polyaorylate-13, Dimethicone/Peg-10/15 Crosspolymer, Caprylyl. Methicone, Arabidopsis Thaliana Extract,
Cetearyl Dimethicone, Citrus Nobilis (Mandarin Orange) Peel Oil, Dipropylene Glycol, Disodium Edta, Ergothioneine, Erythritol, Ethylhexylglycerin, Eugenia Caryophyllus (Clove) Leaf
Oil, Eugenol, Euphorbia Cerifera (Candelilla) Cer//Euphorbia, Cerifera (Candelilla) Wax, Glucose, Homarine Hol, Hydrolyzed Pea Protein, Lecithin, Malls Domestic Fruit Cell Culture
Extract, Micrococols Lysate, Panthenol, Peg-8/Smdi Copolymer, Pentaerythrityl. Tetra-Dh-T-Butyl Hndroxyhydrocinnamate,Phenoxyethanol,Plankton Extract, Polyglyceryl-3
Polydimethylsiloxyethyl Dimethicone, Polysobu/Tene, Polysorbate. 20, Potassium Sorbate, Sodilm Benzoate, Sodium Chloride, Sodium Citrate, Sodium Hvaluronate, Sodium
Succinate, Sorbitan Isostearate, Tetrahexyldecyl. Ascorbate, Tocopherol, Tocopheryl Acetate, Triethonyslylethyl Polydimeth/Lsiloxyethnl Hexyl Dimethicone, Xanthan Gum."
PREVENTION+ daily tinted moisturizer SPF30;819984015067;PPEU-301N;IMAGE Skincare;19;24,95 €;49,90 €;91 g;"Getönte Tagespflege mit purem mineralischen Lichtschutz gegen UVA- und UVB-Strahlung. Diese täglich
anzuwendende Feuchtigkeitscrème verleiht der Haut einen ebenmäßigen Hautton und beinhaltet Digital Aging Defense™
der hilft, die Effekte von Blauem Licht und schädlichen Umweltfaktoren zu bekämpfen.";"15 Minuten vor dem Aufenthalt in der Sonne auf die gereinigte Haut auftragen.
Mindestens alle 2 Stunden erneut auftragen.";"Aqua/Water/Eau, Cyclopentasiloxane, C12-15 Alkyl Benzoate, Zinc Oxide [Nano], Dimethicone, Titanium Dioxide [Nano], Glycerin, Cyclohexasiloxane, Polyglyceryl-3
Polydimethylsiloxyethyl Dimethicone, Dimethicone/Peg-10/15 Crosspolymer, Aluminum Hydroxide, Helianthus Annuus (Sunflower) Seed Oil, Stearic Acid, Sodium Chloride,
Cetyl Peg/Ppg-10/1 Dimethicone, Hexyl Laurate, Polyglyceryl-4 Isostearate, Phenoxyethanol, Dimethicone/Polyglycerin-3 Crosspolymer, Citrus Aurantium Dulcis (Orange) Peel Oil,
Iron Oxides (C1 77492), Limonene, Caprylyl Glycol, Cetearyl Olivate, Triethoxysilylethyl Polydimethylsiloxyethyl Hexyl Dimethicone, Sorbitan Olivate, Dimethicone/Vinyl Dimethicone
Crosspolymer, Ethylhexylglycerin, Hexylene Glycol, Citrus Nobilis (Mandarin Orange) Peel Oil, Tocopheryl Acetate, Iron Oxides (Ci 77491), Camellia Sinensis Leaf Extract, Iron Oxides
(Ci 77499), Benzoic Acid, Dipropylene Glycol, Titanium Dioxide (Ci 77891), Artemisia Vulgaris Extract, Laminaria Digitata Extract, Vanilla Planifolia Fruit Extract, Triethoxycaprylylsilane,
Sodium Citrate, Glucose, Hydrolyzed Pea Protein, Tocopherol, Barosma Betulina Leaf Oil, Tetrahexyldecyl Ascorbate, Alumina, Magnesium Oxide, Sodium Succinate, Potassium
Sorbate, Sodium Benzoate, Lecithin, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Sodium I Ferrocyanide, Arabidopsis Thaliana Extract, Micrococcus Lysate, Plankton
Extract, Ergothioneine."
PREVENTION+ daily hydrating moisturizer SPF30;819984016170;PPEU-402;IMAGE Skincare;19;24,95 €;49,90 €;91 g;"Stark feuchtigkeitsspende Tagescrème mit purem mineralischen Schutz vor den schädlichen UVA- und UVB-Strahlen.
Diese täglich anzuwendende Pflege beinhaltet den Digital Aging Defense™ der hilft, die Effekte von Blauem Licht und
schädlichen Umweltfaktoren zu bekämpfen.";"15 Minuten vor dem Aufenthalt in der Sonne auf die gereinigte Haut auftragen.
Mindestens alle 2 Stunden erneut auftragen.";"Aloe Barbadensis Leaf Juice, Zinc Oxide [Nano], Cyclopentasiloxane, Dicaprylyl Carbonate, Glycerin, Aqua/Water/Eau, Alcohol Denat. (Sd Alcohol 40-B), Lauryl Peg-9
Polydimethylsilocyethyl Dimethicone, Hydrated Silica, Dimethicone, Polyglyceryl-3 Polydimethylsolixyethyl Dimethicone, Isohexadecane, Magnesium Sulfate, Polyhydroxystearic Acid,
Triethoxysilylethyl Polydimethylsiloxyethyl Hexyl Dimethicone, Dimethicone/Peg-10/15 Crosspolymer, Ricinus Communis (Castor) Seed Oil, Limonene, Cyprylic Acid, Caprylic/Capric
Triglyceride, Citurs Aurantium Dulcis (Orange) Peel Extract, Citrus Grandis (Grapefruit) Peel Extract, Lecithin, Propanediol, Orbignya Phalerata Seed Powder, Lauric Acid, Calendula
Officinalis Flower Extract, Citrus Limon(Lemon) Peel Extrct, Citrus Tangerina (Tangerine) Peel Extract, Potassium Sorbate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate
Copolymer, Camellia Oleifera Leaf Extract, Dimethicone/Viyl Dimethicone Crosspolymer, Tetrahexyldecyl Ascorbate, Lycium Chinense Fruit Extract, Pyrus Malus (Apple) Fruit Extract,
Erythritol, Punica Granatum (Pomegranate) Fruit Extract, Phenoxyethanol, Tocopherol, Citral, Glucose, Hydrolized Pea Protein, Sodium Chloride, Plankton Extract, Sodium Benzoate,
Homarine Hcl, Sodium Succinate, Arabidopsis Thaliana Extract, Micrococcus Lysate, Ergothioneine."
PREVENTION+ daily ultimate protection moisturizer SPF50;819984014602;PPEU-303N;IMAGE Skincare;19;24,95 €;49,90 €;91 g;"Leichte, feuchtigkeitsspendende Rezeptur mit integriertem Schutz vor den schädlichen Auswirkungen der UVA- und
UVB-Strahlen. Mit organischem Zinkoxid und den UV-Blockern Homosalate, Octocrylene und Octisalate für eine einfache
und angenehme Anwendung.";"15 Minuten vor dem Aufenthalt in der Sonne auf die gereinigte Haut auftragen.
Mindestens alle 2 Stunden erneut auftragen.";"Aqua/Water/Eau, Homosalate, Zinc Oxide, Caprylic/Capric Triglyceride, Glycerin, Octocrylene, Ethylhexyl Salicylate, Cyclopentasiloxane, Cetyl PEG/PPG-10/1 Dimethicone,
Thermus Thermophillus Ferment, Polyacrylate-13, Cetearyl Ethylhexanoate, Phenoxyethanol, Polyisobutene, Polyglyceryl-6 Polyricinoleate, Lecithin, Isostearic Acid, Polyglyceryl-3
Polyricinoleate, Polyhydroxystearic Acid, Sodium Chloride, Cetearyl Dimethicone, Marrubium Vulgare Extract, Helianthus Annuus (Sunflower) Seed Oil, Xanthan Gum, Polyglyceryl-2
Isostearate, Disteardimonium Hectorite, Polysorbate 20, Citrus Aurantium Dulcis (Orange) Peel Oil, Limonene, Sorbitan Isostearate, Ethylhexylglycerin, Panthenol, Citrus Nobilis
(Mandarin Orange) Peel Oil, Disodium EDTA, Sodium Hyaluronate, Melanin, Erythritol, Citric Acid, Vanilla Planifolia Fruit Extract, Glucose, Potassium Sorbate, Hydrolized Pea Protein,
Tocopherol, PEG-8/SMDI Copolymer, Thetrahexyldecyl Ascorbate, Tocopheryl Acetate, Barosma Betulina (Buchu) Leaf Oil, Sodium Benzoate, Homarine HCL, Pentaerythrityl Tetra-
Di-T-Butyl Hydroxyhydrocinnamate, Sodium Succinate, Malus Domestica Fruit Cell Culture Extract, Arabidopsis Thaliana (Thale Cress) extract, Micrococcus Lysate, Plankton Extract,
Ergothioneine."
PREVENTION+ daily perfecting primer SPF50;819984015715;PPEU-309;IMAGE Skincare;19;27,00 €;54,00 €;28 g;"Getönter Primer mit integriertem Lichtschutzfaktor, der die Haut zart macht und sichtbare Anzeichen von Falten, unebener Hauttextur
oder vergrößerten Poren reduziert. Mit 100 % mineralischem Sonnenschutzfilter und Inhaltsstoffen auf Fermentbasis, die
die schädlichen Effekte von Umweltfaktoren (wie Wind und Sonne), die die Haut austrocknen können, mildern. Leicht verteilbar
und mit den meisten Hauttönen kombinierbar, hinterlässt es ein wunderschönes, natürliches Finish auf der Haut.";"15 Minuten vor dem Aufenthalt in der Sonne auf die gereinigte Haut auftragen.
Mindestens alle 2 Stunden erneut auftragen.";"Isododecane, Zinc Oxide, Caprylic/Capric Triglyceride, Butyloctyl Salicylate, Octyldodecyl. Neopentanoate, Titanium Dioxide (Nano), Adipic Acid/Neopenty, Glycol Grosspolymer,
Laufry,. Dimethicone, Polysilicone-11, Propylene Carbonate, Silica Getyl Silylate (Nano), Dimethicone, Stearalkonium Hectorite, Glycerin, Polyhydroxystearic Acid, Sostearic Acid,
Lecithin, Polyglyceryl-3 Polyricinoleate, Hydrogenated Polysobutene, Polyglyceryl.-4 Disostearate/Polihydroxystearate/Sebacate, Silica, Ci 77492, Aqua/Water/Eau, Helianthus Annuus
(Sunflower) Seed Oil, Citrus Aurantium Dulcis (Orange) Peel, Oil, Limonene, Ci 77491, Tocopheryl Acetate. C1 77499, Gossypilm Hirsutum Extract, Tetrahexyldecyl Ascorbate, Glucose,
Hydrolyzed Pea Protein, Sodium Chloride, Gluconolactone, Barosma Betulina Leaf Ol, Vanilla Planifolia Fruit Extract, Sodum Benzoate, Sodium Succinate, Calcium Gluconate"
PREVENTION+ sun serum SPF30;819984018396;PPEU-113;IMAGE Skincare;19;29,95 €;59,90 €;28,3 g;"Sonnenschutzserum mit leichter Textur, die allein aufgetragen werden kann oder unter Ihrem Moisturizer oder Make-up - für
einen strahlend schönen Glow und eine geschützte Haut.";"Vor Gebrauch gründlich schütteln. Großzügig auf die Haut auftragen und nach Bedarf Anwendung wiederholen.
Bei Sonnenexposition, 15 Minuten vorher auftragen.";"Isododecane, Zinc Oxide, Squalane, Polysilicone-11, Propanediol Dicaprylate/Caprate, Polyglyceryl-3 Polyricinoleate, Polyhydroxystearic Acid, Triethoxycaprylylsilane, Lecithin,
Tocopheryl Acetate, Citrus Aurantium Dulcis (Orange) Peel Oil, Zingiber Officinale (Ginger) Root Extract, Limonene, Camellia Oleifera Seed Oil, Tetrahexyldecyl Ascorbate,
Prunus Armeniaca (Apricot) Kernel Oil, Carthamus Tinctorius (Safflower Seed Oil, Aloe Barbadensis Leaf Extract, Citral, Linalool, Citric Acid"
PREVENTION+ sun serum SPF30 tinted;819984018488;PPEU-114;IMAGE Skincare;19;29,95 €;59,90 €;28,3 g;"Sonnenschutzserum mit leichter Textur und Tönung, die allein aufgetragen werden kann oder unter Ihrem Moisturizer oder
Make-up - für einen strahlend schönen Glow und eine geschützte Haut.";"Vor Gebrauch gründlich schütteln. Großzügig auf die Haut auftragen und nach Bedarf Anwendung wiederholen.
Bei Sonnenexposition, 15 Minuten vorher auftragen.";"Isododecane, Zinc Oxide, Squalane, Polysilicone-11, Propanediol Dicaprylate/Caprate, Caprylic/Capric Triglyceride, Polyhydroxystearic Acid, Polyglyceryl-3 Polyricinoleate,
Triethoxycaprylylsilane, Lecithin, Iron Oxides (Ci 77492), Hydrogenated Palm Oil, Hydrogenated Rapeseed Oil, Coco-Caprylate/Caprate, Hydrated Silica, Citrus Aurantium Dulcis
(Orange) Peel Oil, Zingiber Officinale (Ginger) Root Extract, Limonene, Camellia Oleifera Seed Oil. Tetrahexyldecyl Ascorbate, Tocopheryl Acetate, Polyglyceryl-6 Polyricinoleate, Iron
Oxides (C1 77491), Dilinoleic Acid/Butanediol Copolymer, Disodium Stearoyl Glutamate, Aqua/Water/Eau, Prunus Armeniaca (Apricot) Kernel Oil, Carthamus Tinctorius (Safflower)
Seed Oil, Castor Ol/Ipdi Copolymer, Iron Oxides (C1 77499), Sodilm Sulfate, Aloe Barbadensis Leaf Extract, Citral, Linalool, Citric Acid, Isododecane, Zinc Oxide, Squalane, Polysilicone-11,
Propanediol Dicaprylate/Caprate, Caprylic/Capric Triglyceride, Polyhydroxystearic Acid, Polyglyceryl-3 Polyricinoleate, Triethoxycaprylylsilane, Lecithin, Iron Oxides (Ci 77492),
Hydrogenated Palm Oil, Hydrogenated Rapeseed Oil, Coco-Caprylate/Caprate, Hydrated Silica, Citrus Aurantium Dulcis (Orange) Peel Oil, Zingiber Officinale (Ginger) Root Extract,
Limonene, Camellia Oleifera Seed Oil. Tetrahexyldecyl Ascorbate, Tocopheryl Acetate, Polyglyceryl-6 Polyricinoleate, Iron Oxides (C1 77491), Dilinoleic Acid/Butanediol Copolymer,
Disodium Stearoyl Glutamate, Aqua/Water/Eau, Prunus Armeniaca (Apricot) Kernel Oil, Carthamus Tinctorius (Safflower) Seed Oil. Castor Ol/Ipdi Copolymer, Iron Oxides (C1 77499),
Sodilm Sulfate, Aloe Barbadensis Leaf Extract, Citral, Linalool, Citric Acid"
PREVENTION+ clear solar gel SPF30;819984018525;PPEU-112;IMAGE Skincare;19;28,00 €;56,00 €;42,5 g;"Innovative Rezeptur mit einiger einzigartigen Mischung aus Antioxidantien und nachhaltigem Squalan,
die Unebenmäßigkeiten sanft ausgleicht und die Haut zart und geschmeidig hinterlässt.
Das transparente Gel kann allein oder unter dem Make-up getragen werden und ist bei allen Hauttönen einsetzbar.";"Großzügig auf die Haut auftragen und nach Bedarf Anwendung wiederholen.
Bei Sonnenexposition, 15 Minuten vorher auftragen.";"Isododecane, Polysilicone-11, Octocrylene, Dimethicone, Ethylhexyl Salicylate, Squalane, Butyl Methoxydibenzoylmethane, Butyloctyl Salicylate, Divinyldimethicone/Dimethicone/
Phenylsilsesquioxane Crosspolymer, Citrus Aurantium Dulcis (Orange) Peel Oil, Limonene, Camellia Oleifera Seed Oil, Carthamus Tinctorius (Safflower) Seed Oil, Aloe Barbadensis
Leaf Extract, Prunus Armeniaca (Apricot) Kernel Oil. Tetrahexyldecyl Ascorbate, Tocopheryl Acetate, Citric Acid"
